asin,sku,date,metrics.sales,metrics.spend,metrics.clicks,metrics.impressions,metrics.orders,metrics.conversion_rate,metrics.acos,metrics.roas,metrics.ctr,metrics.cpc,metrics.conversions,metrics.same_sku_sales,metrics.same_sku_orders,metrics.daily_budget,metrics.total_budget,metrics.max_spend,metrics.avg_spend,metrics.total_sales,metrics.total_acos,metrics.total_units,metrics.organic_sales,metrics.organic_orders,metrics.page_views,metrics.ad_sales_perc,metrics.tos_is,metrics.aov,metrics.sessions,metrics.buy_box_percentage,metrics.browser_sessions,metrics.mobile_app_sessions
B0FGVLRY3G,"""None""","""2026-02-27""",1521.9,63.38,13,2719,4,0.307692,0.0416,24.01,0.0048,4.88,4,1521.9,4,,,,,0,,0,0,0,55,,,380.475,0,,0,0
B0FFTPM2ZQ,"""None""","""2026-02-13""",950.48,8.14,2,860,4,2.0,0.0086,116.77,0.0023,4.07,4,950.48,4,,,,,0,,0,0,0,4,,,237.62,0,,0,0
B0F32S4MTD,"""None""","""2026-02-26""",1949.52,27.73,7,848,3,0.428571,0.0142,70.3,0.0083,3.96,3,1949.52,3,,,,,0,,0,0,0,8,,,649.84,0,,0,0
B0CTNX6XV1,"""None""","""2026-02-13""",950.48,8.83,7,2307,3,0.428571,0.0093,107.64,0.003,1.26,3,456.19,2,,,,,0,,0,0,0,14,,,316.826667,0,,0,0
B0FGVKQ3GS,"""None""","""2026-02-07""",2279.04,55.55,13,3408,3,0.230769,0.0244,41.03,0.0038,4.27,3,2279.04,3,,,,,0.0,,0,0,0,12,,,759.68,0,,0,0
B0FGVKMVF5,"""None""","""2026-02-14""",760.95,15.27,3,45,2,0.666667,0.0201,49.83,0.0667,5.09,2,760.95,2,,,,,0,,0,0,0,4,,,380.475,0,,0,0
B0FGVMX316,"""None""","""2026-02-20""",760.95,42.32,7,1485,2,0.285714,0.0556,17.98,0.0047,6.05,2,760.95,2,,,,,0,,0,0,0,14,,,380.475,0,,0,0
B0FFTL8TPX,"""None""","""2026-02-14""",950.48,20.66,6,1025,2,0.333333,0.0217,46.01,0.0059,3.44,2,950.48,2,,,,,950.48,2.17,2,0,0,12,100.0,,475.24,0,,0,0
B0F32TLJ49,"""None""","""2026-02-23""",618.1,35.74,10,644,2,0.2,0.0578,17.29,0.0155,3.57,2,618.1,2,,,,,0,,0,0,0,10,,,309.05,0,,0,0
B0FGVMR98Y,"""None""","""2026-02-14""",760.96,9.55,2,80,2,1.0,0.0125,79.68,0.025,4.78,2,760.96,2,,,,,0.0,,0,0,0,3,,,380.48,0,,0,0
